#KEY	SRR11357510	SRR11357511	SRR11357512	SRR11357513	SRR11357514	SRR11357515	SRR11357516	SRR11357517
Geneid	SRR11357510	SRR11357511	SRR11357512	SRR11357513	SRR11357514	SRR11357515	SRR11357516	SRR11357517
gene:ECOLIN_00155	3544	1594	93	72	2583	2560	156	182
gene:ECOLIN_00160	5396	3787	400	340	5278	5012	714	588
gene:ECOLIN_00165	91	131	407	414	128	180	244	223
gene:ECOLIN_00170	42	31	55	61	40	37	30	22
gene:ECOLIN_00175	23	21	14	26	15	28	6	9
gene:ECOLIN_00180	366	356	371	356	282	330	232	218
gene:ECOLIN_00185	134	116	309	288	66	89	130	110
gene:ECOLIN_00190	281	233	554	521	188	172	271	271
gene:ECOLIN_00195	13	12	4	10	7	24	6	6
gene:ECOLIN_00200	16	18	17	13	4	13	8	10
gene:ECOLIN_00205	37	20	53	23	12	16	28	25
gene:ECOLIN_00210	25	19	21	11	14	34	19	11
gene:ECOLIN_00215	2	2	3	2	1	3	0	3
gene:ECOLIN_00220	40	33	71	42	22	23	40	28
gene:ECOLIN_00225	70	83	196	133	105	95	190	109
gene:ECOLIN_00230	358	292	364	316	396	340	484	381
gene:ECOLIN_00235	508	247	312	302	306	339	369	347
gene:ECOLIN_00240	255	215	578	503	228	233	473	417
gene:ECOLIN_00245	225	205	284	257	205	214	244	190
gene:ECOLIN_00250	1080	961	379	297	1043	980	433	345
gene:ECOLIN_00255	849	860	447	385	688	857	496	476
gene:ECOLIN_00260	1758	1772	701	623	1539	1705	814	701
gene:ECOLIN_00265	1755	1775	236	253	1631	1681	250	218
gene:ECOLIN_00270	6246	5299	1413	1161	5687	5059	1786	1615
gene:ECOLIN_00275	9441	8340	2971	2841	7617	7910	4487	4171
gene:ECOLIN_00280	610	487	308	317	407	472	232	232
gene:ECOLIN_00285	221	159	723	669	161	150	352	255
gene:ECOLIN_00290	1085	524	3650	3359	517	497	2151	1862
gene:ECOLIN_00295	377	407	2989	2487	372	383	1949	1625
gene:ECOLIN_00300	9	6	25	14	16	4	15	10
gene:ECOLIN_00305	69	60	80	99	50	50	83	86
gene:ECOLIN_00310	22	19	79	58	24	29	60	44
gene:ECOLIN_00315	190	195	110	120	140	148	105	84
gene:ECOLIN_00320	0	6	2	3	3	3	5	2
gene:ECOLIN_00325	5	12	46	68	1	0	30	35
gene:ECOLIN_00330	198	141	343	282	139	172	242	219
gene:ECOLIN_00335	261	202	50	30	191	185	67	36
gene:ECOLIN_00340	633	465	51	50	471	458	78	67
gene:ECOLIN_00345	1814	1405	376	318	1569	1607	352	320
gene:ECOLIN_00350	265	335	310	319	242	236	283	217
gene:ECOLIN_00355	299	212	820	516	240	377	2058	1802
gene:ECOLIN_00360	1553	1656	130	114	615	670	120	107
gene:ECOLIN_00365	3065	3721	277	318	1178	1236	286	263
gene:ECOLIN_00370	2389	2612	226	191	902	933	190	205
gene:ECOLIN_00375	4890	2846	273	283	1244	1268	256	222
gene:ECOLIN_00380	178	225	238	185	190	230	157	144
gene:ECOLIN_00385	5413	5564	575	554	3441	3854	745	665
gene:ECOLIN_00390	1456	1462	138	122	1060	1111	253	171
gene:ECOLIN_00395	1791	1725	1203	1079	1398	1438	1001	868
gene:ECOLIN_00400	966	931	598	639	643	781	474	480
gene:ECOLIN_00405	1502	1272	1256	1278	1084	1294	1213	1132
gene:ECOLIN_00410	276	269	231	186	226	219	263	212
gene:ECOLIN_00415	1556	1301	1639	902	1339	1392	794	795
gene:ECOLIN_00420	1963	1779	207	186	1532	1627	391	290
gene:ECOLIN_00425	2091	1829	214	190	1440	1615	423	367
gene:ECOLIN_00430	1212	1246	127	155	783	982	230	207
gene:ECOLIN_00435	1377	1281	178	202	833	1160	302	265
gene:ECOLIN_00440	1660	1488	305	204	1045	1078	347	304
gene:ECOLIN_00445	1492	1276	192	213	1029	947	308	310
gene:ECOLIN_00450	2503	2188	346	497	1946	1944	687	612
gene:ECOLIN_00455	1691	1685	425	523	1239	1370	602	528
gene:ECOLIN_00460	1301	1230	499	514	1064	1061	742	670
gene:ECOLIN_00465	2067	2048	1008	919	1565	1932	1005	932
gene:ECOLIN_00470	8702	8185	2938	2763	7190	7286	3088	2875
gene:ECOLIN_00475	15233	13466	11397	10487	12905	12707	10683	9928
gene:ECOLIN_00480	1372	1237	1697	1357	923	1139	1351	1012
gene:ECOLIN_00485	9555	8106	4873	4825	6693	6485	5856	5252
gene:ECOLIN_00490	65	87	37	45	40	70	34	15
gene:ECOLIN_00495	54	68	56	68	69	69	66	57
gene:ECOLIN_00500	36	64	40	56	71	49	68	68
gene:ECOLIN_00505	215	218	195	212	218	209	308	262
gene:ECOLIN_00510	238	197	66	59	188	200	123	89
gene:ECOLIN_00515	689	655	163	173	647	621	371	311
gene:ECOLIN_00520	496	491	228	176	513	521	368	302
gene:ECOLIN_00525	1927	1856	1071	930	2156	1940	580	553
gene:ECOLIN_00530	95	35	104	136	61	50	100	87
gene:ECOLIN_00535	51	38	56	36	44	51	26	18
gene:ECOLIN_00540	8	5	4	8	2	7	8	3
gene:ECOLIN_00545	1004	971	532	393	1156	1104	491	442
gene:ECOLIN_00550	322	409	204	184	346	328	255	204
gene:ECOLIN_00555	426	548	148	195	486	458	182	143
gene:ECOLIN_00560	5191	7082	670	639	4741	5077	476	438
gene:ECOLIN_00565	162	192	200	186	136	166	149	144
gene:ECOLIN_00570	154	166	47	40	57	116	43	62
gene:ECOLIN_00580	176	169	26	32	56	129	9	25
gene:ECOLIN_00585	349	369	102	145	156	229	94	104
gene:ECOLIN_00590	1399	1617	445	516	715	1235	300	362
gene:ECOLIN_00595	7447	3371	3763	3119	2966	2554	2898	2687
gene:ECOLIN_00600	47719	45600	15839	15049	28608	27878	11872	10646
gene:ECOLIN_00610	16725	12587	9019	8836	6872	7296	6976	6573
gene:ECOLIN_00615	221	203	259	264	211	232	257	194
gene:ECOLIN_00620	15113	7543	3749	3408	6585	5640	5003	4247
gene:ECOLIN_00625	128	149	915	802	85	124	399	380
gene:ECOLIN_00630	2033	1783	226	205	996	1148	203	218
gene:ECOLIN_00635	2146	1701	217	288	1240	1106	273	264
gene:ECOLIN_00640	712	668	202	180	618	656	259	244
gene:ECOLIN_00645	403	347	270	221	1176	1163	250	220
gene:ECOLIN_00650	1716	1026	1575	1480	381	845	1659	1507
gene:ECOLIN_00655	917	856	107	108	855	749	150	187
gene:ECOLIN_00660	3101	2393	1666	1442	2840	2690	2175	1888
gene:ECOLIN_00665	692	625	164	209	420	555	161	177
gene:ECOLIN_00670	492	488	238	217	462	430	233	204
gene:ECOLIN_00675	205	189	132	126	167	149	110	103
gene:ECOLIN_00680	268	203	375	295	206	191	262	225
gene:ECOLIN_00685	2616	2152	450	415	2053	2171	447	411
gene:ECOLIN_00690	80	90	110	94	83	102	64	68
gene:ECOLIN_00695	159	203	194	152	84	128	124	122
gene:ECOLIN_00705	1731	2170	1858	1906	2459	2397	1537	1279
gene:ECOLIN_00710	1357	1216	1720	1688	735	1073	861	770
gene:ECOLIN_00715	63	52	21	21	23	34	28	18
gene:ECOLIN_00720	41	39	22	19	20	41	22	30
gene:ECOLIN_00725	28	30	33	40	30	32	16	15
gene:ECOLIN_00730	177	189	346	320	183	191	179	177
gene:ECOLIN_00735	21	20	26	15	18	14	18	10
gene:ECOLIN_00740	89	30	8	0	18	30	5	2
gene:ECOLIN_00745	343	177	13	8	190	237	38	17
gene:ECOLIN_00750	4474	2378	481	470	2797	2732	899	764
gene:ECOLIN_00755	455	260	191	126	304	258	171	103
gene:ECOLIN_00760	25	26	56	20	43	24	31	29
gene:ECOLIN_00765	2	11	16	20	22	25	32	27
gene:ECOLIN_00770	1	1	0	0	0	0	0	1
gene:ECOLIN_00775	29	27	56	16	39	27	34	25
gene:ECOLIN_00780	1	8	23	12	21	9	21	23
gene:ECOLIN_00785	1	5	2	0	10	4	2	1
gene:ECOLIN_00790	732	631	315	327	502	560	390	299
gene:ECOLIN_00795	3833	3144	1934	1759	2728	2620	1979	1679
gene:ECOLIN_00805	15294	14556	1481	1255	11672	11873	3273	3104
gene:ECOLIN_00810	1845	1395	83	80	1393	1309	118	79
gene:ECOLIN_00815	1557	1268	26	14	1191	1173	35	36
gene:ECOLIN_00820	1570	1659	72	75	1202	1272	85	73
gene:ECOLIN_00825	2269	2358	1346	1305	2453	2042	1428	1195
gene:ECOLIN_00830	645	749	1062	903	592	616	1054	932
gene:ECOLIN_00835	1041	962	3366	2724	518	761	2036	1928
gene:ECOLIN_00840	221	149	212	167	138	142	96	72
gene:ECOLIN_00845	398	323	62	45	333	297	64	42
gene:ECOLIN_00850	1167	1120	377	310	1205	1157	443	356
gene:ECOLIN_00855	734	762	323	368	745	804	321	267
gene:ECOLIN_00860	1464	1278	425	450	1934	1852	367	339
gene:ECOLIN_00865	175	118	159	171	119	152	155	107
gene:ECOLIN_00870	1587	1839	843	892	1700	1841	839	747
gene:ECOLIN_00875	9742	8788	1228	1020	9132	9583	1519	1418
gene:ECOLIN_00880	1538	1325	2495	2134	1560	1495	2622	2298
gene:ECOLIN_00885	2735	2625	1259	1260	2353	2276	1544	1472
gene:ECOLIN_00890	22065	17827	3058	3092	16716	15647	4896	4611
gene:ECOLIN_00895	10582	9200	1246	1255	8147	7993	2080	2068
gene:ECOLIN_00900	2058	1804	677	558	1922	1994	634	506
gene:ECOLIN_00905	4886	4803	2712	2527	5575	5295	3268	2903
gene:ECOLIN_00915	2794	1854	340	309	1478	1708	348	356
gene:ECOLIN_00920	1707	1243	373	403	1052	1196	384	330
gene:ECOLIN_00925	4671	4022	635	711	2936	3328	887	848
gene:ECOLIN_00930	15865	15376	2362	2370	13150	13444	3295	2896
gene:ECOLIN_00935	7580	7606	3334	3412	8942	8780	3978	3593
gene:ECOLIN_00940	10300	9398	3880	3433	8361	8201	4170	3517
gene:ECOLIN_00945	3139	2881	516	583	2601	2536	813	902
gene:ECOLIN_00950	3017	2602	503	399	2526	2252	663	594
gene:ECOLIN_00955	2297	1731	384	314	1608	1522	325	280
gene:ECOLIN_00960	755	556	120	87	627	488	110	93
gene:ECOLIN_00965	4594	3890	1002	1057	3296	3680	1058	916
gene:ECOLIN_00970	3274	2612	663	655	2696	2386	808	694
gene:ECOLIN_00975	658	534	1147	1107	372	431	1408	1362
gene:ECOLIN_00980	149	124	183	175	96	100	213	196
gene:ECOLIN_00985	558	456	543	504	472	513	515	571
gene:ECOLIN_00990	226	268	931	923	300	236	976	803
gene:ECOLIN_00995	214	327	896	869	270	307	779	739
gene:ECOLIN_01000	377	354	242	192	320	312	199	190
gene:ECOLIN_01005	279	249	397	291	250	258	316	267
gene:ECOLIN_01010	390	379	533	464	321	328	434	390
gene:ECOLIN_01015	184	206	206	210	199	177	242	269
gene:ECOLIN_01020	28	44	37	69	44	44	49	51
gene:ECOLIN_01025	61	58	84	88	56	70	75	68
gene:ECOLIN_01030	143	92	117	108	87	78	77	53
gene:ECOLIN_01035	6451	4616	701	611	6013	5114	923	715
gene:ECOLIN_01040	685	523	184	160	644	508	177	163
gene:ECOLIN_01045	1181	1063	557	473	1166	1273	457	497
gene:ECOLIN_01050	15294	13185	1001	774	11373	11197	1951	1750
gene:ECOLIN_01055	5139	3334	466	390	2713	2863	834	688
gene:ECOLIN_01060	3711	2053	171	181	2047	1829	378	271
gene:ECOLIN_01065	2	8	1	3	2	2	0	3
gene:ECOLIN_01070	12	18	5	19	11	22	4	0
gene:ECOLIN_01075	0	0	0	0	0	0	0	0
gene:ECOLIN_01080	0	0	0	0	0	0	0	0
gene:ECOLIN_01085	5441	119851	4195	31017	5796	4725	3832	4101
gene:ECOLIN_01090	4	1	2	0	4	4	1	3
gene:ECOLIN_01095	18	13	93	22	37	23	15	12
gene:ECOLIN_01100	35	43	99	81	36	38	41	47
gene:ECOLIN_01105	119	138	392	397	100	137	314	261
gene:ECOLIN_01110	1197	1359	6714	5820	1255	1516	4111	3578
gene:ECOLIN_01115	316	352	906	759	209	236	452	415
gene:ECOLIN_01120	3503	2452	220	236	2587	2503	240	243
gene:ECOLIN_01125	744	824	140	203	620	700	127	159
gene:ECOLIN_01130	418	415	265	238	424	416	257	232
gene:ECOLIN_01135	437	411	143	110	424	368	147	102
gene:ECOLIN_01140	1240	1015	1084	1112	986	970	1022	804
gene:ECOLIN_01145	93	71	163	68	93	91	92	60
gene:ECOLIN_01155	25	39	31	32	28	25	18	30
gene:ECOLIN_01160	34	31	49	41	41	28	34	27
gene:ECOLIN_01170	1647	1662	3006	2819	1354	1582	3001	2800
gene:ECOLIN_01175	28	18	144	150	20	10	94	56
gene:ECOLIN_01180	70	83	410	372	65	64	270	261
gene:ECOLIN_01190	25	5	12	19	19	9	8	9
gene:ECOLIN_01195	18	13	35	17	13	24	16	14
gene:ECOLIN_01200	0	3	3	0	0	1	0	0
gene:ECOLIN_01205	3	9	6	8	10	9	9	6
gene:ECOLIN_01210	73	55	68	58	41	77	43	29
gene:ECOLIN_01215	0	0	0	0	0	0	1	0
gene:ECOLIN_01220	8	4	11	4	3	4	6	8
gene:ECOLIN_01225	18	12	13	5	8	4	14	8
gene:ECOLIN_01230	69	75	151	107	51	78	114	116
gene:ECOLIN_01235	8	8	12	6	2	7	6	9
gene:ECOLIN_01240	0	0	0	1	0	0	0	0
gene:ECOLIN_01245	1	0	8	2	0	1	2	1
gene:ECOLIN_01255	0	0	2	1	0	0	0	0
gene:ECOLIN_01260	0	0	1	0	0	0	0	0
gene:ECOLIN_01265	2	0	0	1	0	0	0	0
gene:ECOLIN_01270	0	0	0	0	0	0	0	0
gene:ECOLIN_01275	1	2	2	0	0	0	1	2
gene:ECOLIN_01280	3	1	0	0	0	0	1	0
gene:ECOLIN_01285	0	0	2	0	0	0	0	0
gene:ECOLIN_01290	0	1	2	3	0	2	1	1
gene:ECOLIN_01295	3	2	2	3	0	0	2	0
gene:ECOLIN_01300	15	9	12	8	4	6	17	13
gene:ECOLIN_01305	1	3	4	10	6	2	10	10
gene:ECOLIN_01310	1	0	1	1	0	0	0	0
gene:ECOLIN_01315	13	10	29	7	10	17	16	23
gene:ECOLIN_01320	1	1	1	5	4	2	2	0
gene:ECOLIN_01325	10	4	10	28	5	13	6	6
gene:ECOLIN_01330	22	19	43	70	14	10	33	23
gene:ECOLIN_01340	6	1	7	3	0	0	0	3
gene:ECOLIN_01345	5	6	5	12	6	1	7	8
gene:ECOLIN_01350	11	8	4	15	5	4	8	6
gene:ECOLIN_01355	3	0	1	3	2	1	0	2
gene:ECOLIN_01360	3	2	3	2	0	3	1	1
gene:ECOLIN_01375	4	2	7	6	2	4	6	3
gene:ECOLIN_01380	5	3	2	5	0	3	0	2
gene:ECOLIN_01385	11	9	33	33	9	8	19	13
gene:ECOLIN_01395	4	4	24	24	8	0	6	7
gene:ECOLIN_01400	12	2	3	16	3	4	6	8
gene:ECOLIN_01405	5	7	13	10	4	3	11	13
gene:ECOLIN_01410	2	3	1	5	0	2	1	6
gene:ECOLIN_01415	4	5	12	0	3	9	2	3
gene:ECOLIN_01420	206	173	90	117	101	166	98	62
gene:ECOLIN_01425	20	19	38	35	13	17	23	15
gene:ECOLIN_01430	1011	1075	1010	1040	831	1152	1015	878
gene:ECOLIN_01435	201	209	172	143	184	219	130	138
gene:ECOLIN_01440	116	115	247	300	102	149	274	232
gene:ECOLIN_01445	349	473	56	67	258	398	49	75
gene:ECOLIN_01450	7	13	8	8	15	21	2	16
gene:ECOLIN_01455	81	82	1	10	37	64	17	18
gene:ECOLIN_01460	32	47	55	46	22	51	34	21
gene:ECOLIN_01465	146	167	154	124	142	177	71	81
gene:ECOLIN_01470	6	3	1	7	0	4	3	2
gene:ECOLIN_01475	31	19	45	60	11	32	21	28
gene:ECOLIN_01485	337	352	622	737	173	314	388	323
gene:ECOLIN_01490	11	9	29	26	15	22	33	15
gene:ECOLIN_01495	48	72	33	58	49	84	31	32
gene:ECOLIN_01500	61	59	15	14	34	47	1	9
gene:ECOLIN_01505	56	71	12	13	40	93	1	5
gene:ECOLIN_01510	48	65	0	3	25	25	4	9
gene:ECOLIN_01520	147	156	165	173	63	163	146	139
gene:ECOLIN_01525	29	21	2	2	23	30	2	6
gene:ECOLIN_01530	3	7	1	0	0	11	0	2
gene:ECOLIN_01535	12	22	21	29	7	17	5	15
gene:ECOLIN_01540	2	1	1	0	2	1	0	0
gene:ECOLIN_01545	184	149	198	158	119	130	90	100
gene:ECOLIN_01550	54	31	20	15	13	22	10	8
gene:ECOLIN_01555	246	169	146	151	151	156	107	78
gene:ECOLIN_01560	449	477	817	762	406	506	611	538
gene:ECOLIN_01565	154	175	262	187	124	177	151	132
gene:ECOLIN_01570	646	601	292	353	469	448	240	175
gene:ECOLIN_01575	71	114	20	43	45	68	30	26
gene:ECOLIN_01580	83	147	27	26	72	120	15	14
gene:ECOLIN_01585	676	696	456	387	560	586	294	253
gene:ECOLIN_01595	198	213	184	145	139	204	94	97
gene:ECOLIN_01605	1254	1091	772	666	1022	1086	737	606
gene:ECOLIN_01610	9	16	8	13	5	7	6	11
gene:ECOLIN_01620	0	0	1	4	0	1	1	2
gene:ECOLIN_01625	118	96	155	147	74	61	83	82
gene:ECOLIN_01635	1247	1253	1175	1162	903	1041	837	668
gene:ECOLIN_01640	38	39	170	155	32	36	70	53
gene:ECOLIN_01645	61	67	127	158	49	68	111	84
gene:ECOLIN_01650	180	189	366	234	118	149	109	113
gene:ECOLIN_01655	387	333	243	271	314	326	228	234
gene:ECOLIN_01660	241	239	169	158	142	198	147	135
gene:ECOLIN_01670	6	18	7	6	1	3	1	1
gene:ECOLIN_01675	33	22	10	15	13	20	8	11
gene:ECOLIN_01685	472	565	627	481	594	657	571	491
gene:ECOLIN_01690	737	723	2749	2382	644	718	4192	4049
gene:ECOLIN_01695	98	91	220	176	86	92	202	194
gene:ECOLIN_01700	986	1291	422	443	1031	1254	418	476
gene:ECOLIN_01705	611	662	238	208	549	630	291	236
gene:ECOLIN_01710	2810	2032	376	348	2432	2441	558	487
gene:ECOLIN_01715	50	26	63	58	44	28	50	23
gene:ECOLIN_01720	34	30	41	61	37	39	36	24
gene:ECOLIN_01725	6	7	14	13	6	6	4	8
gene:ECOLIN_01730	128	122	601	504	79	105	444	372
gene:ECOLIN_01735	35	38	118	85	37	38	78	59
gene:ECOLIN_01740	107	58	41	73	57	44	41	38
gene:ECOLIN_01745	134	92	64	75	87	93	95	75
gene:ECOLIN_01750	4802	5769	3226	3178	5978	5788	3621	3340
gene:ECOLIN_01755	2361	1087	135	137	1565	1497	127	166
gene:ECOLIN_01760	997	975	1996	1789	1068	1119	1505	1505
gene:ECOLIN_01765	1777	743	861	668	705	677	575	560
gene:ECOLIN_01770	135	36	130	90	43	39	57	62
gene:ECOLIN_01775	1958	1876	1220	1218	1842	1725	1227	1108
gene:ECOLIN_01780	2270	1881	1134	1082	1976	1810	1127	1079
gene:ECOLIN_01785	63	59	132	75	54	62	51	59
gene:ECOLIN_01790	43	64	155	145	37	30	64	54
gene:ECOLIN_01795	21	21	8	6	13	22	1	3
gene:ECOLIN_01800	1578	1300	1786	1790	1083	1257	1247	1231
gene:ECOLIN_01810	38	27	26	33	31	35	21	21
gene:ECOLIN_01815	6588	8339	781	689	5946	7378	676	700
gene:ECOLIN_01825	165	185	123	116	287	254	96	78
gene:ECOLIN_01830	234	251	341	291	597	532	274	234
gene:ECOLIN_01835	743	611	524	397	1378	1692	510	360
gene:ECOLIN_01840	396	281	38	52	1025	1118	190	140
gene:ECOLIN_01845	1178	1188	209	178	3465	3706	566	495
gene:ECOLIN_01850	487	452	161	212	870	1243	576	549
gene:ECOLIN_01855	253	222	18	35	1237	1026	155	184
gene:ECOLIN_01860	1006	860	48	56	2868	3691	516	487
gene:ECOLIN_01865	3	1	17	27	20	10	6	19
gene:ECOLIN_01875	593	536	1350	1550	691	692	1049	1163
gene:ECOLIN_01880	406	494	346	259	264	368	243	238
gene:ECOLIN_01885	432	447	698	686	364	388	420	447
gene:ECOLIN_01890	3	1	4	6	4	2	8	6
gene:ECOLIN_01895	44	71	135	126	44	59	200	143
gene:ECOLIN_01900	182	195	366	302	128	184	222	197
gene:ECOLIN_01905	120	110	118	78	105	135	90	73
gene:ECOLIN_01910	566	611	212	224	537	597	286	264
gene:ECOLIN_01915	51	36	36	20	11	18	24	6
gene:ECOLIN_01920	16	22	1	3	4	6	4	3
gene:ECOLIN_01925	174	189	115	171	155	130	164	200
gene:ECOLIN_01930	92	68	69	43	65	50	39	52
gene:ECOLIN_01935	54	74	290	268	70	69	261	258
gene:ECOLIN_01940	105	157	377	419	141	162	477	481
gene:ECOLIN_01945	54	33	135	112	65	47	118	114
gene:ECOLIN_01950	14	17	14	15	10	8	14	6
gene:ECOLIN_01955	228	165	201	253	141	147	169	150
gene:ECOLIN_01960	22	17	25	41	11	12	29	10
gene:ECOLIN_01965	20	27	31	39	25	25	37	12
gene:ECOLIN_01970	99	83	65	42	73	51	33	41
gene:ECOLIN_01975	144	175	50	42	71	83	16	12
gene:ECOLIN_01980	3522	3538	912	804	1539	1194	622	498
gene:ECOLIN_01985	6240	3113	1764	1676	1355	1103	1685	1615
gene:ECOLIN_01990	3626	1026	1395	1274	383	478	993	915
gene:ECOLIN_01995	3516	922	627	602	447	397	623	558
gene:ECOLIN_02000	2164	989	98	96	731	834	93	69
gene:ECOLIN_02005	171	118	68	76	92	100	47	58
gene:ECOLIN_02010	6	7	13	20	6	7	5	6
gene:ECOLIN_02015	43	48	51	52	80	69	55	50
gene:ECOLIN_02020	11	15	14	21	12	14	6	4
gene:ECOLIN_02025	28	51	90	91	49	54	64	48
gene:ECOLIN_02035	0	0	0	2	0	0	4	1
gene:ECOLIN_02040	5	4	2	4	10	0	3	4
gene:ECOLIN_02045	4	0	0	0	0	0	1	1
gene:ECOLIN_02050	5	11	15	18	9	9	13	14
gene:ECOLIN_02055	119	84	257	229	87	133	143	122
gene:ECOLIN_02060	262	289	503	543	299	355	549	522
gene:ECOLIN_02065	52	33	265	245	27	35	89	127
gene:ECOLIN_02070	244	354	1481	1549	352	554	1717	1577
gene:ECOLIN_02075	37	25	121	116	31	31	154	108
gene:ECOLIN_02080	15	7	1	35	9	13	9	11
gene:ECOLIN_02085	24	15	36	31	17	24	42	27
gene:ECOLIN_02090	27	35	61	37	27	40	29	33
gene:ECOLIN_02095	49	53	114	97	56	61	102	76
gene:ECOLIN_02100	231	104	57	45	102	166	32	36
gene:ECOLIN_02105	649	598	343	361	552	638	333	303
gene:ECOLIN_02110	414	326	126	118	306	339	131	131
gene:ECOLIN_02115	289	277	147	149	236	343	129	104
gene:ECOLIN_02120	1453	1522	319	352	1936	1922	337	300
gene:ECOLIN_02130	368	337	129	137	281	376	83	142
gene:ECOLIN_02135	263	167	206	205	195	230	173	184
gene:ECOLIN_02140	228	221	130	127	336	428	283	217
gene:ECOLIN_02145	55	48	40	19	59	107	82	69
gene:ECOLIN_02150	34	26	220	130	31	29	105	80
gene:ECOLIN_02155	0	0	0	0	2	0	1	0
gene:ECOLIN_02160	0	0	2	0	0	1	0	3
gene:ECOLIN_02165	0	0	2	1	0	3	1	1
gene:ECOLIN_02170	13	0	21	14	3	8	10	4
gene:ECOLIN_02175	9	7	24	19	4	9	2	16
gene:ECOLIN_02180	0	1	0	0	0	0	0	1
gene:ECOLIN_02185	432	308	858	842	113	136	997	929
gene:ECOLIN_02190	193	182	611	683	66	112	571	564
gene:ECOLIN_02195	118	101	567	522	49	50	402	371
gene:ECOLIN_02200	138	139	732	766	130	123	606	552
gene:ECOLIN_02205	1860	1763	1551	1397	1635	1583	1341	1054
gene:ECOLIN_02210	1008	945	2226	2182	945	1078	1275	1251
gene:ECOLIN_02215	7	11	16	17	5	13	12	7
gene:ECOLIN_02220	367	347	445	389	371	448	323	336
gene:ECOLIN_02225	395	329	544	472	306	321	423	379
gene:ECOLIN_02230	496	467	691	609	495	437	483	453
gene:ECOLIN_02235	78	65	57	57	95	81	60	49
gene:ECOLIN_02240	65	60	73	106	44	61	46	36
gene:ECOLIN_02245	1109	1123	474	554	1084	1195	332	286
gene:ECOLIN_02250	418	409	221	217	445	646	254	275
gene:ECOLIN_02255	257	301	151	159	345	370	146	138
gene:ECOLIN_02260	50	74	1189	1012	100	104	989	866
gene:ECOLIN_02265	64	43	214	148	45	48	167	172
gene:ECOLIN_02270	585	525	311	324	546	488	270	308
gene:ECOLIN_02275	355	314	353	377	303	307	352	314
gene:ECOLIN_02280	2170	4365	480	437	2408	2710	350	295
gene:ECOLIN_02285	660	1000	281	280	587	720	480	352
gene:ECOLIN_02290	380	382	241	223	263	233	203	168
gene:ECOLIN_02295	554	612	315	236	789	765	341	272
gene:ECOLIN_02300	233	198	231	218	224	220	159	132
gene:ECOLIN_02305	703	425	251	242	584	613	272	248
gene:ECOLIN_02310	238	195	231	220	180	203	274	272
gene:ECOLIN_02315	371	380	325	261	357	344	312	278
gene:ECOLIN_02320	963	768	154	109	884	756	177	185
gene:ECOLIN_02325	405	312	464	536	365	341	423	461
gene:ECOLIN_02330	244	230	674	684	248	255	606	527
gene:ECOLIN_02335	293	276	673	493	243	305	563	439
gene:ECOLIN_02340	3466	3076	2664	2261	3561	3378	2624	2177
gene:ECOLIN_02345	1507	964	397	410	755	941	345	336
gene:ECOLIN_02350	324	350	224	165	275	305	211	134
gene:ECOLIN_02355	206	261	403	407	245	210	384	334
gene:ECOLIN_02360	479	266	72	58	281	266	123	91
gene:ECOLIN_02365	504	336	65	80	233	294	60	48
gene:ECOLIN_02370	80	78	1	7	79	89	11	11
gene:ECOLIN_02375	261	171	8	8	179	150	18	21
gene:ECOLIN_02380	263	261	25	31	221	173	38	18
gene:ECOLIN_02385	423	343	30	19	287	244	33	35
