"adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","Platform_ORF","GO.Function","GO.Process","GO.Component","Chromosome.annotation"
0.630501299218137,0.00327356669852677,5.1221897701782,-1.3210641956359,0.868983554592502,"anmK///anmK///anmK///anmK","anhydro-N-acetylmuramic acid kinase///anhydro-N-acetylmuramic acid kinase///anhydro-N-acetylmuramic acid kinase///anhydro-N-acetylmuramic acid kinase","b1640","kinase activity","","","NC_004431.1 (1879022..1880131, complement)///NC_002655.2 (2393413..2394522, complement)///NC_000913.3 (1718493..1719602, complement)///NC_002695.1 (2318220..2319329, complement)"
0.742932398921406,0.00498069282676206,-4.65674965998476,-1.64917632484693,-0.740844763139788,"ggt///ggt","gamma-glutamyltranspeptidase///gamma-glutamyltranspeptidase","Z4813","gamma-glutamyl-peptidase activity///glutathione hydrolase activity","amino acid salvage///self proteolysis","outer membrane-bounded periplasmic space///periplasmic space","NC_002655.2 (4369960..4371705, complement)///NC_002695.1 (4302737..4304482, complement)"
0.758931955179819,0.00557600868323731,-4.53666170413028,-1.73992760794164,-2.68415046298582,"yidE","hypothetical protein","c4604","","","plasma membrane","NC_004431.1 (4366347..4368008, complement)"
0.859356855421433,0.00653972404192308,-4.370582140766,-1.86975201806988,-2.92267469399521,"menE","O-succinylbenzoic acid--CoA ligase","c2803","o-succinylbenzoate-CoA ligase activity///identical protein binding","menaquinone biosynthetic process///protein homotetramerization","","NC_004431.1 (2660030..2661385, complement)"
0.859356855421433,0.00846525877982827,-4.10998013859552,-2.08386500575493,-1.19048360253046,"lyxK","Cryptic L-xylulose kinase","c4403","L-xylulokinase activity","L-lyxose metabolic process","","NC_004431.1 (4185560..4187056)"
0.859356855421433,0.00870105881402962,4.08281369472248,-2.10693217077167,0.75413834626981,"ccmD///ccmD///ccmD///ECs3087","Heme exporter protein D///heme exporter protein C///cytochrome c biogenesis protein; heme export ABC transporter holo-CcmE release factor///heme exporter protein C","b2198","protein binding","heme transport///heme transport","integral component of plasma membrane///intrinsic component of the cytoplasmic side of the plasma membrane///intrinsic component of the cytoplasmic side of the plasma membrane","NC_004431.1 (2582885..2583094, complement)///NC_002655.2 (3100199..3100408, complement)///NC_000913.3 (2295377..2295586, complement)///NC_002695.1 (3028930..3029139, complement)"
0.980079400325578,0.011488937311776,-3.81389781334425,-2.34303632374821,-0.667453729605191,"hisD","histidinol dehydrogenase","c2547","histidinol dehydrogenase activity///histidinol dehydrogenase activity///manganese ion binding///metal ion binding","histidine biosynthetic process///histidine biosynthetic process","cytosol///cytosol","NC_004431.1 (2379145..2380458)"
0.980079400325578,0.0120044945867904,-3.77237660786998,-2.38076015083147,-3.17653421488875,"torA","trimethylamine-N-oxide reductase 1","c1133","protein binding///electron transfer activity///molybdenum ion binding///molybdenum ion binding///cofactor binding///cofactor binding///trimethylamine-N-oxide reductase (cytochrome c) activity","aerobic respiration///anaerobic respiration///anaerobic respiration","outer membrane-bounded periplasmic space///outer membrane-bounded periplasmic space","NC_004431.1 (1093996..1096542)"
0.980079400325578,0.0122739895434057,-3.75147198479364,-2.399882228679,-0.899500217433073,"pyrD","dihydroorotate dehydrogenase 2","c1081","dihydroorotate dehydrogenase activity///dihydroorotate dehydrogenase activity///FMN binding","'de novo' pyrimidine nucleobase biosynthetic process///'de novo' pyrimidine nucleobase biosynthetic process///pyrimidine ribonucleotide biosynthetic process","cytosol///membrane","NC_004431.1 (1048663..1049700)"
0.980079400325578,0.0127706108795947,-3.71428181374698,-2.43411553384885,-1.75303184596639,"entF","enterobactin synthase subunit F","c0673","nucleotidyltransferase activity///phosphopantetheine binding///phosphopantetheine binding///2,3-dihydroxybenzoate-serine ligase activity///2,3-dihydroxybenzoate-serine ligase activity","enterobactin biosynthetic process///enterobactin biosynthetic process///amino acid activation for nonribosomal peptide biosynthetic process///amino acid activation for nonribosomal peptide biosynthetic process///secondary metabolite biosynthetic process","cytoplasm///cytosol///cytosol///plasma membrane///enterobactin synthetase complex///enterobactin synthetase complex","NC_004431.1 (656385..660266)"
0.982744074144715,0.0148258804289073,-3.57613063838275,-2.56368895834521,-2.84434476240908,"ybhK///ybhK///ECs0858","hypothetical protein///structural protein///structural protein","Z0999","protein binding","","","NC_004431.1 (838360..839328, complement)///NC_002655.2 (939757..940665, complement)///NC_002695.1 (938104..939012, complement)"
0.995281119097397,0.0153820291539036,3.54245790690948,-2.59584566984842,2.69327880223588,"yiaL","hypothetical protein","c4397","","response to radiation","cytosol","NC_004431.1 (4181289..4181753)"
0.998974957609354,0.0164373987234455,3.48218734224586,-2.65396409241481,1.42853801092238,"narH","respiratory nitrate reductase 1 subunit beta","c1686","protein binding///nitrate reductase activity///electron transfer activity///electron transfer activity///iron-sulfur cluster binding///3 iron, 4 sulfur cluster binding///4 iron, 4 sulfur cluster binding","anaerobic respiration///anaerobic respiration///nitrate metabolic process","membrane///membrane///intrinsic component of membrane///intrinsic component of the cytoplasmic side of the plasma membrane///NarGHI complex","NC_004431.1 (1522281..1523819)"
0.998974957609354,0.0164491491422374,-3.4815411234853,-2.65459113326889,-1.16625902077722,"wzzB","chain length determinant protein","c2554","protein tyrosine kinase activity","","plasma membrane","NC_004431.1 (2385469..2386482, complement)"
0.998974957609354,0.0168382337498117,-3.46043272818034,-2.67511848241781,-3.05452822636464,"ygjQ///ECs3968","hypothetical protein///hypothetical protein","Z4439","","","plasma membrane///integral component of plasma membrane","NC_002655.2 (4043386..4044078)///NC_002695.1 (3976171..3976863)"
0.998974957609354,0.017163816831589,3.44318802279972,-2.69195381287354,1.73312449465892,"metH///metH","B12-dependent methionine synthase///B12-dependent methionine synthase","Z5610","zinc ion binding///protein methyltransferase activity///methionine synthase activity///methionine synthase activity///cobalamin binding","methionine biosynthetic process///tetrahydrofolate interconversion///homocysteine metabolic process","cytoplasm///cytosol///cytosol","NC_002655.2 (5100974..5104657)///NC_002695.1 (5032229..5035912)"
0.998974957609354,0.0178992440091741,-3.40555684091198,-2.72889519838199,-2.35324002830577,"pepP","proline aminopeptidase P II","c3490","aminopeptidase activity///protein binding///metalloexopeptidase activity///manganese ion binding///identical protein binding","","cytosol","NC_004431.1 (3349467..3350792, complement)"
0.998974957609354,0.0179181088366103,-3.40461458653977,-2.72982375741919,-3.28267960749784,"yfiE///ECs3443","LysR family transcriptional regulator///LysR family transcriptional regulator","Z3860","","transcription, DNA-templated","","NC_002655.2 (3504475..3505401, complement)///NC_002695.1 (3434636..3435517, complement)"
0.998974957609354,0.0182087787895212,-3.39023595338753,-2.7440150438611,-2.01690761766722,"metF","5,10-methylenetetrahydrofolate reductase","c4899","methylenetetrahydrofolate reductase (NAD(P)H) activity///methylenetetrahydrofolate reductase (NAD(P)H) activity///FAD binding///FAD binding","one-carbon metabolic process///methionine biosynthetic process///tetrahydrofolate interconversion///tetrahydrofolate biosynthetic process///protein homotetramerization","cytosol","NC_004431.1 (4659627..4660517)"
0.998974957609354,0.0197223574136554,3.31931579645532,-2.81460356246365,2.49416431179497,"artJ///ECs0943","arginine ABC transporter substrate-binding protein///arginine ABC transporter substrate-binding protein","Z1090","amino acid binding///arginine binding","arginine transport///L-arginine import across plasma membrane","outer membrane-bounded periplasmic space///periplasmic space","NC_002655.2 (1030100..1030882, complement)///NC_002695.1 (1028441..1029172, complement)"
0.998974957609354,0.0204440535321641,-3.28762372839006,-2.84646434378621,-1.09676851901884,"glpK","glycerol kinase","c4878","glycerol kinase activity///protein binding///zinc ion binding///identical protein binding///metal ion binding","glycerol metabolic process///glycerol metabolic process///cellular response to DNA damage stimulus///phosphorylation///glycerol catabolic process","cytosol///cytosol","NC_004431.1 (4635408..4637021, complement)"
0.998974957609354,0.0210875235402836,-3.26040808135598,-2.87398012909896,-0.971056421059199,"ssuB","aliphatic sulfonates transport ATP-binding subunit","c1076","ATP binding///ATP binding///alkanesulfonate transmembrane transporter activity///alkanesulfonate transmembrane transporter activity","sulfur compound metabolic process///alkanesulfonate transport","ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing","NC_004431.1 (1044217..1044984, complement)"
0.998974957609354,0.0223412896550312,-3.20995796372644,-2.9253636920443,-1.44494017918821,"metE","5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase","c4751","5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity///protein binding///protein methyltransferase activity///methionine synthase activity","methionine biosynthetic process///tetrahydrofolate interconversion///homocysteine metabolic process","cytosol","NC_004431.1 (4517353..4519614)"
0.998974957609354,0.0254577215967996,3.09715645389495,-3.04200123409092,0.462623261301726,"cydD///cydD///cydD///ECs0972","cysteine/glutathione ABC transporter membrane/ATP-binding component///cysteine/glutathione ABC transporter membrane/ATP-binding protein///glutathione/cysteine ABC transporter export permease/ATPase///cysteine/glutathione ABC transporter membrane/ATP-binding protein","b0887","ATPase activity///ATPase-coupled transmembrane transporter activity///ATPase-coupled transmembrane transporter activity","cysteine export across plasma membrane///glutathione transmembrane transport///cell redox homeostasis","plasma membrane///plasma membrane///integral component of plasma membrane///membrane///integral component of membrane///ATP-binding cassette (ABC) transporter complex","NC_004431.1 (983325..985091, complement)///NC_002655.2 (1149496..1151262, complement)///NC_000913.3 (929196..930962, complement)///NC_002695.1 (1060273..1062039, complement)"
0.998974957609354,0.0269597498386976,-3.04817180971217,-3.09339109181162,-1.41010859942239,"abrB///ECs0740","transporter///transporter","Z0867","","","plasma membrane","NC_002655.2 (825023..826114, complement)///NC_002695.1 (823369..824460, complement)"
0.998974957609354,0.0270681066526116,-3.0447561955062,-3.09699084671532,-1.76033823482517,"nrfE///ECs5056","heme lyase subunit NrfE///heme lyase subunit NrfE","Z5673","","cytochrome c-heme linkage via heme-L-cysteine","plasma membrane","NC_002655.2 (5174646..5176304)///NC_002695.1 (5144661..5146319)"
0.998974957609354,0.0276883864787049,3.02549200664301,-3.11733338210918,0.488996663716785,"ydcV///Z2276///ydcV///ECs2047","ABC transporter permease///transport system permease///putative ABC transporter permease///ABC transporter permease","c1867","","DNA import into cell involved in transformation","plasma membrane","NC_004431.1 (1705056..1705700)///NC_002655.2 (2057154..2057948, complement)///NC_000913.3 (1514762..1515556)///NC_002695.1 (2030525..2031319)"
0.998974957609354,0.0289413367552349,2.98800129662178,-3.15711506764717,2.01607541661103,"hisP///ECs3190","histidine/lysine/arginine/ornithine transporter subunit///histidine/lysine/arginine/ornithine transporter subunit","Z3568","high-affinity L-histidine transmembrane transporter activity///ATP binding","histidine transport///L-histidine transmembrane transport///L-histidine import across plasma membrane","ATP-binding cassette (ABC) transporter complex","NC_002655.2 (3219862..3220635, complement)///NC_002695.1 (3149907..3150680, complement)"
0.998974957609354,0.0298338916027138,-2.96237687080101,-3.18445003518331,-0.561192095088415,"yqhH///yqhH///yqhH///ECs3899","outer membrane lipoprotein///outer membrane lipoprotein///outer membrane lipoprotein, Lpp paralog///outer membrane lipoprotein","b3014","peptidoglycan binding","","intrinsic component of cell outer membrane","NC_004431.1 (3580272..3580529)///NC_002655.2 (3966292..3966549)///NC_000913.3 (3158627..3158884)///NC_002695.1 (3898978..3899235)"
0.998974957609354,0.0311518345382888,-2.92605375638019,-3.22339643817001,-1.88332827759333,"rarD","protein rarD","c4740","","","plasma membrane///plasma membrane///integral component of membrane///integral component of membrane","NC_004431.1 (4507717..4508607, complement)"
0.998974957609354,0.0313522095223443,2.9206806402613,-3.22917718016726,1.97766848762656,"hrpA///ECs2015","ATP-dependent RNA helicase HrpA///ATP-dependent RNA helicase HrpA","Z2313","RNA helicase activity///helicase activity///3'-5' RNA helicase activity","mRNA processing///mRNA processing///RNA modification","","NC_002655.2 (2085685..2089530, complement)///NC_002695.1 (1998948..2002793)"
0.998974957609354,0.0315425395598162,-2.91561195755477,-3.23463498403403,-0.72674226887408,"yphB///yphB///yphB///ECs3410","hypothetical protein///hypothetical protein///mutarotase superfamily protein, YphB family///hypothetical protein","b2544","aldose 1-epimerase activity","glucose metabolic process///cellular response to DNA damage stimulus///galactose catabolic process via UDP-galactose","cytoplasm","NC_004431.1 (2936797..2937669, complement)///NC_002655.2 (3464155..3465027, complement)///NC_000913.3 (2673816..2674688, complement)///NC_002695.1 (3394317..3395189, complement)"
0.998974957609354,0.0327730387203931,-2.88363772727471,-3.26916589496268,-1.0378389508811,"bglX///ECs3019","beta-D-glucoside glucohydrolase///beta-D-glucoside glucohydrolase","Z3381","beta-glucosidase activity///beta-glucosidase activity///glucosidase activity","glucan catabolic process","outer membrane-bounded periplasmic space///periplasmic space","NC_002655.2 (3019872..3022169, complement)///NC_002695.1 (2948605..2950902, complement)"
0.998974957609354,0.0328071087513531,-2.88277139721181,-3.27010393265167,-0.863929188319098,"rtcR///ECs4265","2-component regulator///2-component regulator","Z4780","DNA-binding transcription factor activity","positive regulation of transcription, DNA-templated","","NC_002655.2 (4338437..4340035)///NC_002695.1 (4271215..4272813)"
0.998974957609354,0.0335764236471559,-2.86346960430001,-3.29103638832588,-3.48646978986213,"frwB///ECs4879","PTS system fructose-like transporter subunit EIIB///PTS system fructose-like transporter subunit EIIB","Z5506","protein-phosphocysteine-D-fructose-phosphotransferase system transporter activity","phosphoenolpyruvate-dependent sugar phosphotransferase system///phosphoenolpyruvate-dependent sugar phosphotransferase system///phosphoenolpyruvate-dependent sugar phosphotransferase system","plasma membrane","NC_002655.2 (5019272..5019592)///NC_002695.1 (4950506..4950826)"
0.998974957609354,0.0349428196977939,2.8303611065441,-3.32708772930352,2.54651042636632,"thiM","hydroxyethylthiazole kinase","c2631","hydroxyethylthiazole kinase activity///identical protein binding","thiamine salvage","cytosol","NC_004431.1 (2475185..2475973, complement)"
0.998974957609354,0.0355428920869835,-2.81626930571405,-3.34248723914299,-0.418640046613719,"trpB///trpB///ECs1833","tryptophan synthase subunit beta///tryptophan synthase, beta subunit///tryptophan synthase subunit beta","b1261","tryptophan synthase activity///tryptophan synthase activity///pyridoxal phosphate binding///identical protein binding","tryptophan biosynthetic process///tryptophan biosynthetic process///aromatic amino acid family biosynthetic process","cytoplasm///cytoplasm///cytosol","NC_002655.2 (2267742..2268935)///NC_000913.3 (1317222..1318415, complement)///NC_002695.1 (1818242..1819435, complement)"
0.998974957609354,0.0356275425326479,2.81430252522646,-3.34463912903451,2.7884021284435,"yihV","sugar kinase yihV","c4825","6-deoxy-6-sulfofructose kinase activity","carbohydrate phosphorylation///carbohydrate phosphorylation///6-sulfoquinovose(1-) catabolic process to glycerone phosphate and 3-sulfolactaldehyde///6-sulfoquinovose(1-) catabolic process","cytosol","NC_004431.1 (4589784..4590731, complement)"
0.998974957609354,0.036068524040122,2.80413922311475,-3.35576904906871,0.399350676047376,"fbp///fbp///fbp///ECs5209","fructose-1,6-bisphosphatase///fructose-1,6-bisphosphatase///fructose-1,6-bisphosphatase I///fructose-1,6-bisphosphatase","b4232","fructose 1,6-bisphosphate 1-phosphatase activity///fructose 1,6-bisphosphate 1-phosphatase activity","sucrose biosynthetic process///fructose metabolic process///fructose 6-phosphate metabolic process///gluconeogenesis///gluconeogenesis///fructose 1,6-bisphosphate metabolic process///protein homotetramerization","cytoplasm///cytosol///cytosol","NC_004431.1 (5071657..5072718, complement)///NC_002655.2 (5340077..5341075, complement)///NC_000913.3 (4454611..4455609, complement)///NC_002695.1 (5310091..5311089, complement)"
0.998974957609354,0.0361538481839262,-2.80218855193172,-3.35790717009926,-0.648805068895481,"bglA///bglA///ECs3773","6-phospho-beta-glucosidase///6-phospho-beta-glucosidase A///6-phospho-beta-glucosidase","b2901","beta-glucosidase activity///glucosidase activity","carbohydrate catabolic process///carbohydrate catabolic process","cytosol///cytosol","NC_002655.2 (3849000..3850439)///NC_000913.3 (3043662..3045101)///NC_002695.1 (3781692..3783131)"
0.998974957609354,0.036718538973558,2.78940500467025,-3.37193440803564,2.30708252732149,"yjiH","hypothetical protein","c5410","","","plasma membrane","NC_004431.1 (5153920..5154615, complement)"
0.998974957609354,0.0371134071779979,-2.78059371880099,-3.38161826066592,-2.26022088142871,"prpB///prpB","2-methylisocitrate lyase///2-methylisocitrate lyase","Z0427","magnesium ion binding///methylisocitrate lyase activity///methylisocitrate lyase activity","propionate catabolic process, 2-methylcitrate cycle///propionate catabolic process, 2-methylcitrate cycle","","NC_002655.2 (405383..406273)///NC_002695.1 (405381..406271)"
0.998974957609354,0.037420168434167,-2.77381932758728,-3.38907196129636,-1.90407223191688,"alkA","3-methyl-adenine DNA glycosylase","c2595","alkylbase DNA N-glycosylase activity///protein binding///DNA-3-methyladenine glycosylase activity///alkylated DNA binding///DNA-7-methylguanine glycosylase activity","DNA repair///base-excision repair///base-excision repair, AP site formation///DNA dealkylation involved in DNA repair///DNA dealkylation involved in DNA repair///cellular response to DNA damage stimulus","cytoplasm///cytoplasm///protein-DNA complex","NC_004431.1 (2434020..2434868, complement)"
0.998974957609354,0.0376254902587557,-2.7693190883675,-3.39402751024789,-2.19865155314804,"pheP///ECs0614","phenylalanine transporter///phenylalanine transporter","Z0715","","phenylalanine transport","plasma membrane","NC_002655.2 (684270..685646)///NC_002695.1 (684488..685864)"
0.998974957609354,0.0385547282818279,2.74928388563157,-3.41612865161002,0.683403315654411,"wzc","colanic acid production tyrosine-protein kinase; autokinase; Ugd phosphorylase","b2060","protein tyrosine kinase activity///protein tyrosine kinase activity///ATPase activity","colanic acid biosynthetic process///peptidyl-tyrosine phosphorylation///peptidyl-tyrosine autophosphorylation","plasma membrane///plasma membrane///integral component of plasma membrane///membrane","NC_000913.3 (2133490..2135652, complement)"
0.998974957609354,0.0386303499695937,-2.74767679386137,-3.41790419343667,-0.682096750265342,"srlE///srlE_1///srlE","PTS system, glucitol/sorbitol-specific IIBC component///PTS system, glucitol/sorbitol-specific IIB component and second of two IIC components; frag///glucitol/sorbitol-specific enzyme IIB component of PTS","Z4007","protein-phosphocysteine-sugar phosphotransferase activity///protein-phosphocysteine-sugar phosphotransferase activity","phosphoenolpyruvate-dependent sugar phosphotransferase system///phosphoenolpyruvate-dependent sugar phosphotransferase system///phosphoenolpyruvate-dependent sugar phosphotransferase system","plasma membrane///plasma membrane///integral component of plasma membrane","NC_004431.1 (3108861..3109820)///NC_002655.2 (3617609..3617815)///NC_000913.3 (2826392..2827351)"
0.998974957609354,0.0388828201378748,-2.74233626097085,-3.42380740075886,-1.4441811019827,"recC","exonuclease V subunit gamma","c3416","protein binding///exodeoxyribonuclease V activity","double-strand break repair via homologous recombination///DNA recombination///DNA recombination///DNA recombination///response to radiation///clearance of foreign intracellular DNA","exodeoxyribonuclease V complex","NC_004431.1 (3266380..3269748, complement)"
0.998974957609354,0.0390118777193018,2.73962096454231,-3.42681048270303,1.9285033902858,"murP","PTS system N-acetylmuramic acid transporter subunits EIIBC","c2962","protein-phosphocysteine-N-acetylmuramate phosphotransferase system transporter activity///protein-phosphocysteine-N-acetylmuramate phosphotransferase system transporter activity///protein-phosphocysteine-N-acetylmuramate phosphotransferase system transporter activity","phosphoenolpyruvate-dependent sugar phosphotransferase system///phosphoenolpyruvate-dependent sugar phosphotransferase system///phosphoenolpyruvate-dependent sugar phosphotransferase system///carbohydrate transmembrane transport///carbohydrate transmembrane transport","plasma membrane///plasma membrane///integral component of plasma membrane///membrane","NC_004431.1 (2825592..2827016)"
0.998974957609354,0.0394964684944401,-2.72951268955076,-3.438000152447,-1.05916506047622,"hofB///ECs0111","hypothetical protein///hypothetical protein","Z0117","ATPase activity","","plasma membrane","NC_002655.2 (120204..121589, complement)///NC_002695.1 (120203..121588, complement)"
0.998974957609354,0.0396762252211701,2.72579760221466,-3.44211664928827,0.438283193962224,"ppdC///ppdC///ppdC///ECs3680","hypothetical protein///hypothetical protein///putative prepilin peptidase-dependent protein///hypothetical protein","b2823","","","integral component of plasma membrane","NC_004431.1 (3269761..3270084, complement)///NC_002655.2 (3752139..3752462, complement)///NC_000913.3 (2962441..2962764, complement)///NC_002695.1 (3684841..3685164, complement)"
0.998974957609354,0.0397750519582917,-2.72376297140779,-3.44437201838898,-1.52534771382463,"yjiJ///ECs5293","transporter///transporter","Z5933","","","plasma membrane///plasma membrane","NC_002655.2 (5451915..5453093, complement)///NC_002695.1 (5421911..5423089, complement)"
0.998974957609354,0.0407042213010656,-2.70489997432294,-3.46531158611634,-0.993048642846988,"hipA","protein hipA","c1940","magnesium ion binding///transcription regulatory region sequence-specific DNA binding///transcription regulatory region sequence-specific DNA binding///DNA-binding transcription repressor activity///DNA-binding transcription repressor activity///protein serine/threonine kinase activity///protein serine/threonine kinase activity///protein binding///ATP binding///sequence-specific DNA binding","dormancy process///peptidyl-serine autophosphorylation///negative regulation of catalytic activity///single-species biofilm formation","cytosol///cytosol///protein-DNA complex///protein-DNA complex///protein-DNA complex","NC_004431.1 (1781779..1783197, complement)"
0.998974957609354,0.0410465178307075,-2.69806960835578,-3.47290719220331,-1.40056525950589,"cobT///cobT","nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase///nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase","b1991","nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity","cobalamin biosynthetic process///cobalamin biosynthetic process","","NC_004431.1 (2318276..2319355, complement)///NC_000913.3 (2063388..2064467, complement)"
0.998974957609354,0.0414037334639643,2.69100769617408,-3.48076765642986,2.35904789431229,"hisB","imidazole glycerol-phosphate dehydratase/histidinol phosphatase","c2549","histidinol-phosphatase activity///imidazoleglycerol-phosphate dehydratase activity///imidazoleglycerol-phosphate dehydratase activity///protein binding///identical protein binding","histidine biosynthetic process///histidine biosynthetic process","","NC_004431.1 (2381525..2382592)"
0.998974957609354,0.0435546391714852,2.64984656806059,-3.52672998373389,3.06026763495458,"ampC///ampC","beta-lactamase///beta-lactamase","Z5757","beta-lactamase activity","","","NC_002655.2 (5262076..5263209, complement)///NC_002695.1 (5232091..5233224, complement)"
0.998974957609354,0.0442131787991342,-2.63768693395554,-3.54035502563251,-2.31252527793161,"fdrA///ECs0580","membrane protein FdrA///acyl-CoA synthetase FdrA","Z0673","nucleoside diphosphate kinase activity///succinate-CoA ligase (ADP-forming) activity","tricarboxylic acid cycle///succinyl-CoA metabolic process///succinate metabolic process///nucleoside triphosphate biosynthetic process///bacterial-type flagellum-dependent cell motility","cytosol","NC_002655.2 (638882..640549)///NC_002695.1 (639188..640855)"
0.998974957609354,0.0454967477698009,2.61454409107461,-3.56634475774188,1.42042329905949,"phnP","carbon-phosphorus lyase complex accessory protein","c5098","phosphoric diester hydrolase activity///manganese ion binding","organic phosphonate catabolic process","","NC_004431.1 (4873384..4874142, complement)"
0.998974957609354,0.0467746154386367,2.59219997725971,-3.59150805358017,1.98635598548547,"fhuA","ferrichrome outer membrane transporter","c0185","iron ion binding///protein binding///siderophore uptake transmembrane transporter activity///toxic substance binding///protein domain specific binding///virion binding///cofactor binding","","cell outer membrane///cell outer membrane///cell outer membrane","NC_004431.1 (177931..180189)"
0.998974957609354,0.0471621412718983,-2.58555496712592,-3.59900459322834,-2.45539588756608,"mtlD///ECs4476","mannitol-1-phosphate 5-dehydrogenase///mannitol-1-phosphate 5-dehydrogenase","Z5024","mannitol-1-phosphate 5-dehydrogenase activity///mannitol-1-phosphate 5-dehydrogenase activity","mannitol catabolic process///mannitol catabolic process///mannitol catabolic process","cytosol///cytosol","NC_002655.2 (4584218..4585366)///NC_002695.1 (4515236..4516384)"
0.998974957609354,0.0478299758833811,-2.5742415510055,-3.61178140472462,-0.403417533268676,"pabC///pabC///pabC///ECs1474","4-amino-4-deoxychorismate lyase///4-amino-4-deoxychorismate lyase///4-amino-4-deoxychorismate lyase component of para-aminobenzoate synthase multienzyme complex///4-amino-4-deoxychorismate lyase","b1096","4-amino-4-deoxychorismate lyase activity///4-amino-4-deoxychorismate lyase activity///pyridoxal phosphate binding","","cytosol","NC_004431.1 (1296801..1297583)///NC_002655.2 (1597481..1598290)///NC_000913.3 (1153300..1154109)///NC_002695.1 (1512395..1513204)"
